Yes,No,Task,Label1,Label2,Label3,Sky_shape,Earth_shape,Air_shape,intro_label1,intro_label2,intro_label3,Shape1,Shape2,Shape3,intro_label_type1,intro_label_type2,Label,Target,Shape,CorrectAnswer,key_commands.thisRepN,key_commands.thisTrialN,key_commands.thisN,key_commands.thisIndex,task_order.thisRepN,task_order.thisTrialN,task_order.thisN,task_order.thisIndex,task_block.thisRepN,task_block.thisTrialN,task_block.thisN,task_block.thisIndex,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,thisRow.t,notes,intro.started,intro_text.started,intro_resp.started,intro.stopped,instructions.started,instructions_text.started,instructions_resp.started,instructions.stopped,practice_fixation.started,practice_fixation_cross.started,practice_fixation_cross.stopped,practice_fixation.stopped,practice_target.started,practice_target_label.started,practice_target_plus.started,practice_target_shape.started,practice_resp.started,practice_target_label_valence.started,practice_target_label.stopped,practice_target_plus.stopped,practice_target_shape.stopped,practice_target_label_valence.stopped,practice_resp.stopped,practice_target.stopped,practice_resp.keys,practice_resp.corr,practice_ITI.started,ITI_text.started,ITI_text.stopped,practice_ITI.stopped,practice_feedback.started,practice_feedback_text.started,practice_feedback_text.stopped,practice_feedback.stopped,practice_end.started,self_practice_end_text.started,self_practice_end_resp.started,participant,group,session,date,expName,psychopyVersion,frameRate,expStart,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,sky,Sky,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19.838994499994442,,0.1516410000040196,0.15634529999806546,0.15634529999806546,7.214178900001571,7.27182829999947,7.484520600002725,7.484520600002725,18.629547099990305,18.629565799987176,18.644869699986884,19.838994499994442,19.629369999980554,19.64894399998593,19.838994499994442,19.838994499994442,19.838994499994442,19.838994499994442,19.838994499994442,19.994942399993306,19.994942399993306,19.994942399993306,19.994942399993306,21.344512399984524,21.329021499986993,None,0,21.337870999996085,21.344512399984524,22.245323399984045,22.229105399979744,22.229144199984148,22.245323399984045,22.779911099991295,22.728666799986968,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,sky,Sky,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22.779911099991295,,,,,,,,,,,,,,22.729272800002946,22.779911099991295,22.779911099991295,22.779911099991295,22.779911099991295,22.779911099991295,22.9445934999967,22.9445934999967,22.9445934999967,22.9445934999967,24.295321799989324,24.27918939999654,None,0,24.27969949998078,24.295321799989324,25.01094199999352,24.995553999993717,24.995592999999644,25.01094199999352,25.536240399989765,25.494994999986375,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,sky,Sky,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,25.536240399989765,,,,,,,,,,,,,,25.495755499985535,25.536240399989765,25.536240399989765,25.536240399989765,25.536240399989765,25.536240399989765,25.694601499999408,25.694601499999408,25.694601499999408,25.694601499999408,27.044527099991683,27.02848769997945,None,0,27.02902719998383,27.044527099991683,27.709101899992675,27.693189599987818,27.693205099989427,27.709101899992675,28.22266599998693,28.193150099978084,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,earth,Earth,No,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,28.22266599998693,,,,,,,,,,,,,,28.193425799981924,28.22266599998693,28.22266599998693,28.22266599998693,28.22266599998693,28.22266599998693,28.375686199986376,28.375686199986376,28.375686199986376,28.375686199986376,29.72583169999416,29.710024899977725,None,0,29.710370999993756,29.72583169999416,30.409105700004147,30.39312679998693,30.393144799978472,30.409105700004147,30.909554099984234,30.893098100001225,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,sky,Sky,No,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,30.909554099984234,,,,,,,,,,,,,,30.893371199985268,30.909554099984234,30.909554099984234,30.909554099984234,30.909554099984234,30.909554099984234,31.059261899994453,31.059261899994453,31.059261899994453,31.059261899994453,32.40921749998233,32.39292309997836,None,0,32.39327020000201,32.40921749998233,33.175848499988206,33.159590399998706,33.159605199994985,33.175848499988206,33.68023219998577,33.65934709997964,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,air,Air,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,33.68023219998577,,,,,,,,,,,,,,33.65962900000159,33.68023219998577,33.68023219998577,33.68023219998577,33.68023219998577,33.68023219998577,33.842316800000845,33.842316800000845,33.842316800000845,33.842316800000845,35.19239449998713,35.17609039999661,None,0,35.176368699991144,35.19239449998713,35.82576429998153,35.80945579998661,35.80947350000497,35.82576429998153,36.32582050000201,36.309442700003274,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,earth,Earth,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,36.32582050000201,,,,,,,,,,,,,,36.30979669999215,36.32582050000201,36.32582050000201,36.32582050000201,36.32582050000201,36.32582050000201,36.47559829999227,36.47559829999227,36.47559829999227,36.47559829999227,37.82573839998804,37.80943510000361,None,0,37.809751199994935,37.82573839998804,38.72561159997713,38.70953619998181,38.709552599990275,38.72561159997713,39.22583379998105,39.20954189999611,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,earth,Earth,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,39.22583379998105,,,,,,,,,,,,,,39.209857299982104,39.22583379998105,39.22583379998105,39.22583379998105,39.22583379998105,39.22583379998105,39.37556299997959,39.37556299997959,39.37556299997959,39.37556299997959,40.72544909999124,40.70956560000195,None,0,40.70983819998219,40.72544909999124,41.35885709998547,41.342880299984245,41.34289759999956,41.35885709998547,41.85914039998897,41.84278710000217,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,earth,Earth,No,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,41.85914039998897,,,,,,,,,,,,,,41.84307030000491,41.85914039998897,41.85914039998897,41.85914039998897,41.85914039998897,41.85914039998897,42.00884070000029,42.00884070000029,42.00884070000029,42.00884070000029,43.35886449998361,43.34293029998662,None,0,43.34321019999334,43.35886449998361,44.12548829999287,44.109310100000584,44.10932449999382,44.12548829999287,44.625826000003144,44.60935139999492,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,air,Air,No,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,44.625826000003144,,,,,,,,,,,,,,44.609609699982684,44.625826000003144,44.625826000003144,44.625826000003144,44.625826000003144,44.625826000003144,44.77538619999541,44.77538619999541,44.77538619999541,44.77538619999541,46.125448299979325,46.109424399997806,None,0,46.10978800000157,46.125448299979325,46.892283499997575,46.875792899983935,46.875808399985544,46.892283499997575,47.4138580999861,47.37653229999705,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,air,Air,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,6,47.4138580999861,,,,,,,,,,,,,,47.377181199990446,47.4138580999861,47.4138580999861,47.4138580999861,47.4138580999861,47.4138580999861,47.57550629999605,47.57550629999605,47.57550629999605,47.57550629999605,48.9256594000035,48.90996339998674,None,0,48.91049559999374,48.9256594000035,49.525664499989944,49.50943979999283,49.509456100000534,49.525664499989944,50.02557239998714,50.00902460000361,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,air,Air,No,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,50.02557239998714,,,,,,,,,,,,,,50.00932349998038,50.02557239998714,50.02557239998714,50.02557239998714,50.02557239998714,50.02557239998714,50.17544089999865,50.17544089999865,50.17544089999865,50.17544089999865,51.525431799993385,51.50916039998992,None,0,51.50955999997677,51.525431799993385,52.292016699997475,52.275782399985474,52.27581110000028,52.292016699997475,52.79312369998661,52.77567489998182,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,sky,Sky,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,9,52.79312369998661,,,,,,,,,,,,,,52.77599840000039,52.79312369998661,52.79312369998661,52.79312369998661,52.79312369998661,52.79312369998661,52.95880510000279,52.95880510000279,52.95880510000279,52.95880510000279,54.30863139999565,54.29254939997918,None,0,54.29283579997718,54.30863139999565,54.82544269997743,54.80900389997987,54.80901860000449,54.82544269997743,55.32550029997947,55.3089908999973,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,earth,Earth,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,10,55.32550029997947,,,,,,,,,,,,,,55.30934549999074,55.32550029997947,55.32550029997947,55.32550029997947,55.32550029997947,55.32550029997947,55.47524099997827,55.47524099997827,55.47524099997827,55.47524099997827,56.82531369998469,56.8090208999929,None,0,56.80932020000182,56.82531369998469,57.44182909998926,57.42570369999157,57.42571769998176,57.44182909998926,57.94215439999243,57.925669099990046,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,air,Air,No,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,2,57.94215439999243,,,,,,,,,,,,,,57.92593850000412,57.94215439999243,57.94215439999243,57.94215439999243,57.94215439999243,57.94215439999243,58.091875199985225,58.091875199985225,58.091875199985225,58.091875199985225,59.44198740000138,59.42601120000472,None,0,59.42631739997887,59.44198740000138,60.2083359999815,60.19222009999794,60.192233999987366,60.2083359999815,60.715435599995544,60.69244260000414,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,air,Air,No,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,5,60.715435599995544,,,,,,,,,,,,,,60.69297169998754,60.715435599995544,60.715435599995544,60.715435599995544,60.715435599995544,60.715435599995544,60.875393900001654,60.875393900001654,60.875393900001654,60.875393900001654,62.225322299986146,62.20944969999255,None,0,62.20979389999411,62.225322299986146,63.041793599986704,63.025608099997044,63.02562289999332,63.041793599986704,63.5481768999889,63.52557619998697,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,earth,Earth,No,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,8,63.5481768999889,,,,,,,,,,,,,,63.52591269998811,63.5481768999889,63.5481768999889,63.5481768999889,63.5481768999889,63.5481768999889,63.70826049998868,63.70826049998868,63.70826049998868,63.70826049998868,65.05864249999286,65.04253989999415,None,0,65.04279839998344,65.05864249999286,65.72490810000454,65.70865559999947,65.70867009999347,65.72490810000454,66.22538459999487,66.2088681999885,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,air,Air,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,6,66.22538459999487,,,,,,,,,,,,,,66.20915829998557,66.22538459999487,66.22538459999487,66.22538459999487,66.22538459999487,66.22538459999487,66.37497770000482,66.37497770000482,66.37497770000482,66.37497770000482,67.72497949999524,67.70855290000327,None,0,67.70878549999907,67.72497949999524,68.27499619999435,68.2588737999904,68.25889169998118,68.27499619999435,68.77516039999318,68.75884890000452,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,sky,Sky,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,0,68.77516039999318,,,,,,,,,,,,,,68.75918850000016,68.77516039999318,68.77516039999318,68.77516039999318,68.77516039999318,68.77516039999318,68.92488679999951,68.92488679999951,68.92488679999951,68.92488679999951,70.2749098999775,70.25886309999623,None,0,70.2591923,70.2749098999775,70.89165929998853,70.8751917000045,70.87520710000535,70.89165929998853,71.39250610000454,71.37521460000426,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,sky,Sky,No,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,4,71.39250610000454,,,,,,,,,,,,,,71.37550539997756,71.39250610000454,71.39250610000454,71.39250610000454,71.39250610000454,71.39250610000454,71.55809849998332,71.55809849998332,71.55809849998332,71.55809849998332,72.9080589999794,72.8920792999852,None,0,72.89233790000435,72.9080589999794,73.52482809999492,73.5086548999825,73.50867129999097,73.52482809999492,74.0252472999855,74.00851809998858,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,earth,earth,Earth,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,8,20,3,74.0252472999855,,,,,,,,,,,,,,74.00882269997965,74.0252472999855,74.0252472999855,74.0252472999855,74.0252472999855,74.0252472999855,74.17480539999087,74.17480539999087,74.17480539999087,74.17480539999087,75.52473989999271,75.50865669999621,None,0,75.50889219998498,75.52473989999271,76.27481609999086,76.2587133999914,76.2587275999831,76.27481609999086,76.77878999998211,76.75860430000466,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,sky,Sky,No,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,7,76.77878999998211,,,,,,,,,,,,,,76.75895639997907,76.77878999998211,76.77878999998211,76.77878999998211,76.77878999998211,76.77878999998211,76.9412769000046,76.9412769000046,76.9412769000046,76.9412769000046,78.29124419999425,78.27530310000293,None,0,78.27555069999653,78.29124419999425,79.05794739999692,79.0418895999901,79.0419045999879,79.05794739999692,79.55829559999984,79.54194009999628,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,air,air,Air,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,10,22,11,79.55829559999984,,,,,,,,,,,,,,79.54220480000367,79.55829559999984,79.55829559999984,79.55829559999984,79.55829559999984,79.55829559999984,79.70802180000464,79.70802180000464,79.70802180000464,79.70802180000464,81.05788179999217,81.04193949999171,None,0,81.04218319998472,81.05788179999217,81.75799389998429,81.74201029998949,81.74202649999643,81.75799389998429,82.25990889998502,82.24178449998726,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
m,n,Control,T,S,C,Triangle,Square,Circle,sky,earth,air,Sky,Earth,Air,words,word,sky,earth,Earth,No,0,0,0,0,0,0,0,0,0,0,0,0,1,11,23,1,82.25990889998502,,,,,,,,,,,,,,82.2420888999768,82.25990889998502,82.25990889998502,82.25990889998502,82.25990889998502,82.25990889998502,82.42476539997733,82.42476539997733,82.42476539997733,82.42476539997733,83.77476079997723,83.75925439997809,None,0,83.75993129998096,83.77476079997723,84.50837669998873,84.49233660000027,84.49237500000163,84.50837669998873,85.07815419998951,84.99248369998531,,,,99,A,01,2023-10-03_13h31.15.248,AssociativeLearning_v2,2023.2.2,59.97666908310189,2023-10-03 13h32.07.270953 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.07420719999936,85.07815419998951,85.07815419998951,,,,,,,,,
